dataset_id ,owner, project,Semantic Coverage, variable_id,variable_label,variable_concept_entity,variable_concept_caracteristic,dataType,unit,data points
42,Kai Uwe Totsche,D03,36,37,160,Nitrate_Ion Crom.,http://purl.obolibrary.org/obo/CHEBI_17632,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,Kai Uwe Totsche,D03,36,37,169,Manganese_OES,http://purl.obolibrary.org/obo/CHEBI_18291,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
43,Kai Uwe Totsche,D03,11,11,211,Relative humidity_mean,http://purl.obolibrary.org/obo/ENVO_00002005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88206,Percent,Decimal,1331
43,Kai Uwe Totsche,D03,11,11,210,Relative humidity_max,http://purl.obolibrary.org/obo/ENVO_00002005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88206,Percent,Decimal,1331
43,Kai Uwe Totsche,D03,11,11,209,Wind_Speed_mean,http://purl.obolibrary.org/obo/ENVO_01000793,http://ecoinformatics.org/oboe/oboe.1.0/oboe-characteristics.owl#Speed,Meter per second,Decimal,1331
43,Kai Uwe Totsche,D03,11,11,208,Wind_Speed_max,http://purl.obolibrary.org/obo/ENVO_01000793,http://ecoinformatics.org/oboe/oboe.1.0/oboe-characteristics.owl#Speed,Meter per second,Decimal,1331
43,Kai Uwe Totsche,D03,11,11,207,Solar radiation,http://ecoinformatics.org/oboe/oboe.1.0/oboe-spatial.owl#SpatialEntity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C44445,Watt per meter square,Number,1331
43,Kai Uwe Totsche,D03,11,11,206,Precipitation,http://purl.obolibrary.org/obo/ENVO_01000830,http://ecoinformatics.org/oboe/oboe.1.0/oboe-characteristics.owl#Length,Millimeter,Decimal,1331
43,Kai Uwe Totsche,D03,11,11,205,Date_time,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-entities.owl#TemporalEntity,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Date,none,Date,1331
43,Kai Uwe Totsche,D03,11,11,204,Air temperature_min,http://purl.obolibrary.org/obo/ENVO_00002005,http://purl.obolibrary.org/obo/PATO_0000146,Celsius,Decimal,1331
43,Kai Uwe Totsche,D03,11,11,202,Air temperature_max,http://purl.obolibrary.org/obo/ENVO_00002005,http://purl.obolibrary.org/obo/PATO_0000146,Celsius,Decimal,1331
43,Kai Uwe Totsche,D03,11,11,212,Relative humidity_min,http://purl.obolibrary.org/obo/ENVO_00002005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88206,Percent,Decimal,1331
43,Kai Uwe Totsche,D03,11,11,203,Air temperature_mean,http://purl.obolibrary.org/obo/ENVO_00002005,http://purl.obolibrary.org/obo/PATO_0000146,Celsius,Decimal,1331
46,Kirsten Küsel,/Aquatic Geomicrobiology- Institute of Ecology- Friedrich Schiller University Jena -  - ,5,5,233,Sample_ID,http://purl.obolibrary.org/obo/ENVO_00001998,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25364,aquadiva,String,245
46,Kirsten Küsel,/Aquatic Geomicrobiology- Institute of Ecology- Friedrich Schiller University Jena -  - ,5,5,235,Tax name,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61092,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,Text,245
46,Kirsten Küsel,/Aquatic Geomicrobiology- Institute of Ecology- Friedrich Schiller University Jena -  - ,5,5,232,Sampling date,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-entities.owl#TemporalEntity,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Date,aquadiva,String,245
46,Kirsten Küsel,/Aquatic Geomicrobiology- Institute of Ecology- Friedrich Schiller University Jena -  - ,5,5,236,Nb sequences,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C706,http://ecoinformatics.org/oboe/oboe.1.0/oboe-characteristics.owl#Count,none,Number,245
46,Kirsten Küsel,/Aquatic Geomicrobiology- Institute of Ecology- Friedrich Schiller University Jena -  - ,5,5,234,Nucleic acid,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C706,http://ecoinformatics.org/oboe/oboe.1.0/oboe-core.owl#Type,aquadiva,String,245
47,Swatantar kumar- Martina Herrmann- Kirsten Kusel-,Doctoral Student/ -  - ,11,11,237,Well,http://purl.obolibrary.org/obo/ENVO_01000002,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,String,1727
47,Swatantar kumar- Martina Herrmann- Kirsten Kusel-,Doctoral Student/ -  - ,11,11,238,Campaign,http://purl.obolibrary.org/obo/OBI_0000744,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,Number,1727
47,Swatantar kumar- Martina Herrmann- Kirsten Kusel-,Doctoral Student/ -  - ,11,11,239,Date_time,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-entities.owl#TemporalEntity,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Date,none,Date,1727
47,Swatantar kumar- Martina Herrmann- Kirsten Kusel-,Doctoral Student/ -  - ,11,11,245,nirS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,http://purl.obolibrary.org/obo/PATO_0000033,genes per litre,Decimal,1727
47,Swatantar kumar- Martina Herrmann- Kirsten Kusel-,Doctoral Student/ -  - ,11,11,246,nirK,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,http://purl.obolibrary.org/obo/PATO_0000033,genes per litre,Decimal,1727
47,Swatantar kumar- Martina Herrmann- Kirsten Kusel-,Doctoral Student/ -  - ,11,11,247,16S rRNA (mean),http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C105370,http://purl.obolibrary.org/obo/PATO_0000033,genes per litre,Decimal,1727
47,Swatantar kumar- Martina Herrmann- Kirsten Kusel-,Doctoral Student/ -  - ,11,11,244,hzsA,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,http://purl.obolibrary.org/obo/PATO_0000033,genes per litre,Decimal,1727
47,Swatantar kumar- Martina Herrmann- Kirsten Kusel-,Doctoral Student/ -  - ,11,11,251,nirK (Std error),http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,http://purl.obolibrary.org/obo/PATO_0000033,genes per litre,Decimal,1727
47,Swatantar kumar- Martina Herrmann- Kirsten Kusel-,Doctoral Student/ -  - ,11,11,250,nirS (Std error),http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,http://purl.obolibrary.org/obo/PATO_0000033,genes per litre,Decimal,1727
47,Swatantar kumar- Martina Herrmann- Kirsten Kusel-,Doctoral Student/ -  - ,11,11,249,hzsA (Std error),http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,http://purl.obolibrary.org/obo/PATO_0000033,genes per litre,Decimal,1727
47,Swatantar kumar- Martina Herrmann- Kirsten Kusel-,Doctoral Student/ -  - ,11,11,248,16S rRNA (Std error),http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C105370,http://purl.obolibrary.org/obo/PATO_0000033,genes per litre,Decimal,1727
49,Falko Gutmann,BIODIV 3/Kirsten Küsel,8,8,266,Well name,http://purl.obolibrary.org/obo/ENVO_01000002,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,String,3152
49,Falko Gutmann,BIODIV 3/Kirsten Küsel,8,8,269,nitrate,http://purl.obolibrary.org/obo/CHEBI_17632,http://purl.obolibrary.org/obo/PATO_0000033,micromolar,Decimal,3152
49,Falko Gutmann,BIODIV 3/Kirsten Küsel,8,8,270,nitrite_new,http://purl.obolibrary.org/obo/CHEBI_16301,http://purl.obolibrary.org/obo/PATO_0000033,micromolar,Decimal,3152
49,Falko Gutmann,BIODIV 3/Kirsten Küsel,8,8,271,ammonium,http://purl.obolibrary.org/obo/CHEBI_28938,http://purl.obolibrary.org/obo/PATO_0000033,micromolar,Decimal,3152
49,Falko Gutmann,BIODIV 3/Kirsten Küsel,8,8,272,sulfate,http://purl.obolibrary.org/obo/CHEBI_16189,http://purl.obolibrary.org/obo/PATO_0000033,micromolar,Decimal,3152
49,Falko Gutmann,BIODIV 3/Kirsten Küsel,8,8,267,sulfide_photom,http://purl.obolibrary.org/obo/CHEBI_26822,http://purl.obolibrary.org/obo/PATO_0000033,parts per million,Decimal,3152
49,Falko Gutmann,BIODIV 3/Kirsten Küsel,8,8,273,iron (II),http://purl.obolibrary.org/obo/CHEBI_29033,http://purl.obolibrary.org/obo/PATO_0000033,micromolar,Decimal,3152
49,Falko Gutmann,BIODIV 3/Kirsten Küsel,8,8,274,sampling campaign (monthly),http://purl.obolibrary.org/obo/OBI_0000744,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,String,3152
77,Ali Nawaz,BIODIV3_Fun/Kirsten Küsel,7,9,545,Sample_ID,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25364,http://purl.obolibrary.org/obo/ENVO_00001998,aquadiva,String,1980
77,Ali Nawaz,BIODIV3_Fun/Kirsten Küsel,7,9,547,Landuse,No Annotation,No Annotation,aquadiva,String,1980
77,Ali Nawaz,BIODIV3_Fun/Kirsten Küsel,7,9,549,pH,http://purl.obolibrary.org/obo/ENVO_00001998,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45997,none,Decimal,1980
77,Ali Nawaz,BIODIV3_Fun/Kirsten Küsel,7,9,544,Serial_number,http://purl.obolibrary.org/obo/ENVO_00001998,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25337,none,Number,1980
77,Ali Nawaz,BIODIV3_Fun/Kirsten Küsel,7,9,546,Sampling_date,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-entities.owl#TemporalEntity,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Date,none,Date,1980
77,Ali Nawaz,BIODIV3_Fun/Kirsten Küsel,7,9,552,C/N_ratio,No Annotation,No Annotation,none,Decimal,1980
77,Ali Nawaz,BIODIV3_Fun/Kirsten Küsel,7,9,551,Total_nitrogen_%,http://purl.obolibrary.org/obo/CHEBI_25555,http://purl.obolibrary.org/obo/PATO_0000033,Percent,Decimal,1980
77,Ali Nawaz,BIODIV3_Fun/Kirsten Küsel,7,9,548,Soil_moisture_%,http://purl.obolibrary.org/obo/ENVO_00001998,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#SoilMoisture,Percent,Decimal,1980
77,Ali Nawaz,BIODIV3_Fun/Kirsten Küsel,7,9,550,Total_carbon_%,http://purl.obolibrary.org/obo/CHEBI_27594,http://purl.obolibrary.org/obo/PATO_0000033,Percent,Decimal,1980
79,Kirsten  Küsel,A03,10,18,622,sampling campaign (monthly),http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-entities.owl#TemporalEntity,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Date,aquadiva,String,7866
79,Kirsten  Küsel,A03,10,18,624,H3_1,No Annotation,No Annotation,Amount,Number,7866
79,Kirsten  Küsel,A03,10,18,625,H3_2,No Annotation,No Annotation,Amount,Number,7866
79,Kirsten  Küsel,A03,10,18,626,H4_1,No Annotation,No Annotation,Amount,Number,7866
79,Kirsten  Küsel,A03,10,18,627,H4_3,No Annotation,No Annotation,Amount,Number,7866
79,Kirsten  Küsel,A03,10,18,628,H5_1,No Annotation,No Annotation,Amount,Number,7866
79,Kirsten  Küsel,A03,10,18,629,H5_2,No Annotation,No Annotation,Amount,Number,7866
79,Kirsten  Küsel,A03,10,18,630,H5_3,No Annotation,No Annotation,Amount,Number,7866
79,Kirsten  Küsel,A03,10,18,631,Reprerentative_sequence,No Annotation,No Annotation,none,Text,7866
79,Kirsten  Küsel,A03,10,18,632,Domain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62706,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,Text,7866
79,Kirsten  Küsel,A03,10,18,633,Kingdom,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45276,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,Text,7866
79,Kirsten  Küsel,A03,10,18,634,Phylum,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45277,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,Text,7866
79,Kirsten  Küsel,A03,10,18,635,Class,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45280,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,Text,7866
79,Kirsten  Küsel,A03,10,18,636,Order,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45287,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,Text,7866
79,Kirsten  Küsel,A03,10,18,637,Family,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45290,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,Text,7866
79,Kirsten  Küsel,A03,10,18,638,Genus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45292,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,Text,7866
79,Kirsten  Küsel,A03,10,18,639,Species,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45293,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,Text,7866
79,Kirsten  Küsel,A03,10,18,640,Fungal_OTU,http://purl.obolibrary.org/obo/OBI_0001968,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,Text,7866
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,880,unique spectra 01A.raw [01A],No Annotation,No Annotation,none,Decimal,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,881,NSAF 01A.raw [01A],No Annotation,No Annotation,none,Decimal,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,882,unique spectra 01B.raw [01B],No Annotation,No Annotation,none,Decimal,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,883,NSAF 01B.raw [01B],No Annotation,No Annotation,none,Decimal,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,884,unique spectra 01C.raw [01C],No Annotation,No Annotation,none,Decimal,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,896,NSAF 01C.raw [01C],No Annotation,No Annotation,none,Decimal,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,897,unique spectra 02A.raw [02A],No Annotation,No Annotation,none,Decimal,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,898,NSAF 02A.raw [02A],No Annotation,No Annotation,none,Decimal,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,899,unique spectra 02B.raw [02B],No Annotation,No Annotation,none,Decimal,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,900,NSAF 02B.raw [02B],No Annotation,No Annotation,none,Decimal,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,901,unique spectra 02C.raw [02C],No Annotation,No Annotation,none,Decimal,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,902,NSAF 02C.raw [02C],No Annotation,No Annotation,none,Decimal,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,903,unique spectra 03A.raw [03A],No Annotation,No Annotation,none,Decimal,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,904,NSAF 03A.raw [03A],No Annotation,No Annotation,none,Decimal,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,905,unique spectra 03B.raw [03B],No Annotation,No Annotation,none,Decimal,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,906,NSAF 03B.raw [03B],No Annotation,No Annotation,none,Decimal,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,838,considered hits,No Annotation,No Annotation,none,Number,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,839,excluded hits,No Annotation,No Annotation,none,Number,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,840,hit list,http://edamontology.org/data_1262,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,String,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,841,maximal sequence length,No Annotation,No Annotation,none,Char,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,842,lowest percent identity,No Annotation,No Annotation,none,String,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,843,superkingdom [common],http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62706,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,Text,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,844,phylum [common],http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45277,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,Text,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,845,class [common],http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45280,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,Text,13571
84,Martin von Bergen,/Helmholtz Zentrum für Umweltforschung - UFZ Leipzig - MOLSYB,8,41,846,order [common],http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45287,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,Text,13571
